,Data Source,World Development Indicators,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Country Name,Country Code,Indicator Name,Indicator Code,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
2,Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.56936585365855,65.98802439024391,66.36553658536586,66.71397560975609,67.04429268292684,67.36975609756098,67.69900000000001,68.03468292682928,68.37714634146343,68.72841463414636,69.08614634146342,69.44609756097562,69.79865853658536,70.13965853658537,70.46529268292683,70.77780487804878,71.0808292682927,71.37770731707317,71.66978048780489,71.9528536585366,72.22014634146342,72.46234146341463,72.67319512195122,72.84902439024391,72.98975609756098,73.0979756097561,73.17936585365854,73.24270731707318,73.29624390243903,73.34448780487806,73.3899756097561,73.4331219512195,73.47175609756098,73.50531707317074,73.53575609756099,73.56360975609756,73.58943902439024,73.61480487804879,73.64229268292684,73.67539024390246,73.72060975609757,73.7829024390244,73.86524390243902,73.96856097560976,74.0908536585366,74.22807317073172,74.37570731707318,74.52624390243902,74.67421951219514,74.81614634146344,74.95202439024392,75.08039024390246,75.20675609756098,
3,Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,31.58004878048781,32.0959756097561,32.6118780487805,33.12731707317074,33.64124390243903,34.15368292682927,34.66312195121952,35.170073170731705,35.6720243902439,36.1699756097561,36.659439024390245,37.13941463414634,37.60887804878049,38.06934146341463,38.52329268292683,38.97026829268293,39.410731707317076,39.84770731707318,40.29068292682927,40.74817073170732,41.23365853658537,41.76063414634146,42.33560975609757,42.96304878048781,43.64448780487806,44.3799024390244,45.16880487804879,45.99721951219513,46.85014634146342,47.711585365853665,48.567048780487816,49.404560975609755,50.21312195121952,50.98524390243903,51.70939024390244,52.37507317073171,52.97278048780488,53.50848780487805,53.99219512195122,54.432878048780495,54.84856097560976,55.25621951219512,55.6718780487805,56.10756097560976,56.56973170731708,57.05843902439025,57.57065853658537,58.091365853658544,58.60709756097562,59.11234146341464,59.60009756097562,60.06536585365854,60.50912195121952,
5,Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.984829268292685,33.386219512195126,33.787585365853666,34.18846341463415,34.59034146341464,34.99221951219512,35.395097560975614,35.7999756097561,36.20585365853659,36.610243902439024,37.01512195121951,37.42102439024391,37.826926829268295,38.22682926829268,38.61378048780488,38.975804878048784,39.301,39.58136585365853,39.81585365853659,40.00539024390244,40.15924390243902,40.288658536585366,40.408,40.52824390243902,40.653951219512194,40.777780487804876,40.88748780487805,40.9738780487805,41.03770731707317,41.08765853658537,41.13834146341464,41.20634146341464,41.3130243902439,41.47819512195123,41.71624390243903,42.05146341463415,42.50163414634147,43.06212195121952,43.71426829268293,44.43900000000001,45.20478048780489,45.973146341463426,46.71173170731708,47.39317073170732,48.00351219512196,48.53880487804878,49.00704878048781,49.435731707317075,49.847390243902446,50.251024390243906,50.65417073170732,51.05931707317073,51.46400000000001,
6,Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.25436585365854,63.27346341463415,64.16285365853659,64.88709756097562,65.43819512195122,65.82739024390244,66.08931707317075,66.28721951219514,66.4749512195122,66.68160975609757,66.93258536585365,67.23887804878049,67.5859512195122,67.95795121951221,68.34834146341464,68.74121951219513,69.11551219512197,69.45617073170733,69.75424390243903,70.00965853658538,70.2359756097561,70.45446341463415,70.68512195121953,70.93739024390244,71.20653658536585,71.47121951219513,71.69756097560978,71.8619512195122,71.95329268292684,71.97858536585368,71.95731707317073,71.91841463414634,71.90080487804879,71.9358536585366,72.0419512195122,72.23602439024391,72.52741463414634,72.89809756097561,73.32658536585367,73.79339024390245,74.2720731707317,74.73421951219512,75.1579512195122,75.52936585365855,75.839,76.08939024390244,76.29053658536586,76.4648536585366,76.63231707317074,76.8018780487805,76.97851219512195,77.16321951219513,77.35046341463415,
7,Andean Region,ANR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.76269484876981,47.38860125236366,48.00243628485626,48.607591411488684,49.205118380874055,49.79140456787842,50.35895419659028,50.905413153209,51.43348528485547,51.95132901535708,52.47099593998311,53.008361919344544,53.572343600111594,54.16367610895595,54.776987762470604,55.40334619951277,56.03115757457564,56.650762751106356,57.26119541815236,57.869592319631536,58.48831946215589,59.129150557051055,59.79558416530108,60.48244441046931,61.17400842045568,61.85254627024502,62.49791488598951,63.0952038121797,63.6349202607101,64.11452276573429,64.62899387469801,65.00620089970617,65.29779428278891,65.63370670378765,65.96898431464342,66.3439716730163,66.65331285083606,66.94772974973716,67.20976112110259,67.45714272385534,67.67006183473003,67.86960305094635,68.05338239465219,68.2280907596357,68.41062769151276,68.59594578139992,68.79417588656284,68.99364675255002,69.18793946784257,69.38159704057703,69.57168995336893,69.7614648859679,69.94970243156182,
9,United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.243219512195125,53.28656097560977,54.327000000000005,55.36351219512196,56.39258536585367,57.40570731707318,58.39185365853659,59.34046341463416,60.244048780487816,61.09858536585367,61.90104878048781,62.654951219512206,63.36631707317075,64.04312195121953,64.6889024390244,65.30514634146343,65.89334146341463,66.45400000000001,66.98860975609757,67.49717073170733,67.98319512195121,68.44517073170732,68.88409756097562,69.30148780487806,69.69831707317074,70.07663414634146,70.43639024390244,70.77812195121953,71.10482926829269,71.418,71.72063414634147,72.01375609756097,72.29934146341463,72.57790243902438,72.85192682926831,73.1219024390244,73.38782926829268,73.64973170731707,73.90558536585367,74.15790243902441,74.40568292682929,74.64946341463416,74.88921951219513,75.12448780487806,75.35573170731708,75.58195121951219,75.80012195121952,76.01121951219514,76.21475609756098,76.41070731707318,76.59860975609757,76.781,76.9578780487805,
