,Data Source,World Development Indicators,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
10,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.608116,18272123664.47152,25605249381.75971,28344705967.58156,28630474726.336548,24256667554.62004,26436857248.005642,31256284544.736057,31584210364.55228,33293199094.672718,34733000536.46846,52544000117.253174,72436777341.9953,52438647921.87232,51169499890.77572,56781000100.94422,58082870156.264984,69252328953.3803,76961923741.94685,78676842366.42133,84307486836.72401,103979106777.91101,79092001998.03204,88416668900.2596,110934442762.69357,111106191358.19745,126206817196.09116,76636898036.47118,141352368714.6913,189719989668.1026,228779382768.1515,236753563469.8715,311852387500.0,312569210000.0,329671180000.0,354757527500.0,362133800000.0,343448277500.0,344272910000.0,325488360000.0,123607470068.63321,156988741752.41528,183295704305.30954,222907566120.93216,264489701813.20636,329761480066.7651,406003733832.96967,378496221140.69666,462703793707.18744,557727273772.9133,603153016502.593,611755084645.166
11,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.4271407,2068526521.9029896,1272577521.7683005,1201313196.4562566,1315158670.4797065,1468317350.023426,1596968913.192023,1639492424.3810267,1893726437.3597622,1845482181.4853873,1911563665.3900604,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900436758.504664,6384457744.447649,9206301700.396194,11662040713.875309,8647936747.98704,9260287416.060144,10142342769.946447,9958217880.33776,10432169571.24996
12,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,66144443.276291445,74855554.23355879,92240739.11171053,110066664.72281925,124462954.83894198,137951855.34146014,153270373.58944386,173511108.0467944,201862965.32386035,245896291.95361117,286474069.01475954,338696290.31470406,373403703.0350824,391570363.45498836,410388899.4189373,423762955.47903925,456537023.0483765,500088880.0570007,494185188.3094118,541074082.2961389,579851829.7594473,620037014.2349366,651851840.3397331,787693391.3480922,778311556.5137814,806505874.2751111,849234753.8908622,905113766.533633,1001970945.0823326,1141418339.619603,1289259236.49012,1347407407.4074073,1206296296.2962961,1135555555.5555556,1127037037.037037,1194074074.074074,1230000000.0
14,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18609026766.7152,19689774890.80524,19923843655.504536,21542165976.03315,23803337439.802887,25978273042.89394,27305409340.35166,30440138873.33408,32709149960.80188,36681599283.234406,41330496136.18546,45212229812.96898,52035046728.97196,63818065342.72902,88959469417.83345,97278437798.71638,105025841421.90848,110320027529.24983,118458154748.47733,134858570941.72441,149957660167.13092,176884941367.7,194047224980.69073,177255966307.9083,193593551892.77304,180551507248.60013,182504896474.53833,189718766543.1445,236924476135.04074,300881035746.2747,311393612928.04926,325581979436.46497,325389525494.11676,311965289488.4767,322830854375.64856,368222453222.45325,401579666160.84973,435828768195.3357,399523163535.23706,388867652588.0436,415208189411.543,378642266824.085,394442235244.8723,466663366336.63367,613161189358.3724,693662607126.7478,747463312368.9728,853854910889.5344,1055506156996.8894,926710311519.4137,1141793593834.2456,1386889147177.3132,1532407884934.1882,1560597150412.2236
15,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.18495,7311749633.3622875,7756110210.119664,8374175257.730753,9169983885.711851,9994070615.85997,10887682273.101418,11579431668.916473,12440625312.868534,13582798556.24042,15215058932.249802,17675002527.944763,21832965361.79731,29212217262.21611,34827754651.95303,39647626536.79055,42518592467.59223,51016162684.20614,61414715246.84924,73177642820.38086,81215814720.27228,70304401244.16797,70542983786.39993,71380023747.51035,67286843408.29379,68673874035.64777,98018638125.28166,122892699172.83414,131969428284.85457,131738237129.48518,164753092097.30124,172008564525.63345,193073835462.0586,188423702827.39856,201444060956.51126,238561783813.2933,234676456979.46454,207826098771.00012,213329585371.27612,212301777114.8519,192070749953.93405,191678678299.7763,207537336721.24976,253945776523.70203,291430382497.37695,304983601949.95776,324954469985.9604,375042040683.6495,414171244876.61224,383733551535.80457,377679836476.59576,415984217114.769,394457535617.2656,415843926201.39606
16,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006035.915659,8792365810.509403,4991350457.542502,3973027396.651947,3313739673.547376,3052467522.3610435,3176749593.11788,3962710163.1116686,4446396217.632653,4581222442.457831,5272617196.045174,5707618246.568476,6236024951.2042265,7275766111.243089,8680511918.493572,13245421880.834042,20982270733.24842,33050343782.7759,48852482960.077896,44291490420.50262,52902703376.105644,65951627200.202614,68730906313.64563,73560484384.95857
17,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999989.76,202999992.32,213500006.4,232749998.08,260750008.32,158994962.96296296,165444571.42857143,178297142.85714287,183200000.0,190205714.2857143,242732571.42857143,252842285.7142857,246804571.42857143,304339839.55214554,345263492.06349206,420986666.6666667,448412753.6231884,547535555.5555556,610225555.5555556,782496666.6666666,919726666.6666666,969046666.6666666,1013222222.2222222,1082926304.464766,987143931.166987,1149979285.7734692,1201725497.065779,1131466494.0110068,1082403219.4878733,1113924130.4114907,1132101252.5181746,1167398478.3459036,1083037670.624043,938632612.059308,925030590.2803339,1000428393.949343,869033856.3170933,972896267.915425,893770806.0776415,808077223.3657464,870486065.8582181,876794723.0226699,825394484.3616481,784654423.6031711,915257323.4282547,1117254387.1003532,1273180655.198052,1356078300.1237304,1611634286.3408089,1739781535.887383,2026864414.4687095,2355652063.586052,2472384813.057488,2718232385.2638755
18,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722590.990019,12400145221.594988,13264015675.319344,14260017387.049244,15960106680.673218,17371457607.937378,18651883472.480846,19992040788.45929,21376353113.47499,23710735894.702213,26381124884.477448,29458668479.07532,36756500047.10238,47162657848.00435,55351036496.73042,64878745420.83734,70248275973.4583,81831567541.01901,100014140030.68747,114899650370.49368,125285531605.17863,103455231205.28,90974923323.00282,86123021067.95029,82334988808.16951,85218196227.37753,118557903304.62074,147575956006.65588,160323578328.2249,162222137362.5184,202832423615.22208,207948632758.21616,231923859989.70636,221986453439.37848,241903369306.50708,284519704433.49756,275796742671.00977,249766576454.66846,255599022004.88995,254503515874.707,232672747374.23993,232485906040.26846,252795031055.90063,311689616252.82166,361683211959.7946,377350395463.3637,399965710785.1082,459619168192.16095,507379274927.1672,473254348142.43286,471218301721.44495,513317999899.71063,482918013610.4271,508115693499.71027
19,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.2464551,235668220.77437016,236434954.30840746,253927697.409774,269819005.9216979,289908680.3112565,302925235.58345944,306221953.2834234,326323105.7628618,330748244.04653496,333627713.3173194,335073028.0257665,410331856.3331963,504376073.9396383,554654861.4540505,676870139.2078547,698408261.0077541,750049780.0825087,928843468.4864403,1186231018.526541,1405251843.933669,1291120190.5676408,1267778671.4107783,1095348199.4103086,1051134009.3729843,1045712789.8468146,1336102027.0311153,1562412225.6803064,1620246084.8847716,1502294413.8861606,1959965330.510955,1986437797.7249868,1695315185.833443,2274558078.8380375,1598075944.8291144,2169627138.299882,2361116448.138518,2268301645.023531,2455092688.114024,2488892429.475772,2359122302.6702747,2499269391.117131,2807657386.4099083,3557229701.877069,4050869967.798932,4358015992.898385,4705087452.191962,5506275948.357992,6633561835.237904,6585134688.095493,6558416322.119997,7294900430.8943815,7543183758.87361,8307019674.520282
